"";"Status";"Credit.history";"Purpose";"Savings.account";"Installment.rate";"Personal.status.and.sex";"Number.of.existing.credits";"Job";"Number.of.people";"foreign.worker";"Class"
"19";"0-200 DM";"existing credits paid back duly till now";"car (used)";"<100 DM";4;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"20";"no checking account";"existing credits paid back duly till now";"domestic appliances";"500-1000 DM";3;"male: single";1;"skilled employee / official";2;"yes";1
"21";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"male: single";3;"skilled employee / official";1;"yes";1
"22";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"500-1000 DM";2;"male: single";1;"skilled employee / official";2;"yes";1
"23";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";1;"male: single";2;"unskilled - resident";2;"no";1
"24";"0-200 DM";"critical account/other credits existing (not at this bank)";"car (used)";"100-500 DM";3;"male: single";1;"skilled employee / official";1;"yes";1
"25";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";"unknown/ no savings account";2;"male: married/widowed";2;"skilled employee / official";1;"no";1
"26";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";1;"male: single";1;"unskilled - resident";1;"yes";1
"27";"no checking account";"no credits taken/all credits paid back duly";"domestic appliances";"<100 DM";4;"male: married/widowed";1;"unskilled - resident";1;"yes";1
"28";">=200 DM";"all credits at this bank paid back duly";"domestic appliances";">=1000 DM";3;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"29";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"male: single";1;"skilled employee / official";1;"yes";1
"30";"<0 DM";"delay in paying off in the past";"business";"<100 DM";3;"male: single";2;"skilled employee / official";1;"yes";2
"31";"0-200 DM";"existing credits paid back duly till now";"business";">=1000 DM";3;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"32";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"33";"0-200 DM";"existing credits paid back duly till now";"car (new)";"100-500 DM";2;"male: single";2;"skilled employee / official";1;"yes";1
"34";"no checking account";"critical account/other credits existing (not at this bank)";"business";"unknown/ no savings account";4;"male: single";1;"unskilled - resident";1;"yes";1
"35";">=200 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"36";"0-200 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"male: single";2;"unskilled - resident";1;"yes";2
"37";"no checking account";"critical account/other credits existing (not at this bank)";"(vacation - does not exist?)";"<100 DM";1;"male: single";1;"skilled employee / official";1;"yes";1
"38";">=200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";2
"39";">=200 DM";"existing credits paid back duly till now";"repairs";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"40";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"41";"no checking account";"existing credits paid back duly till now";"domestic appliances";"500-1000 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"42";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"500-1000 DM";3;"male: divorced/separated";1;"skilled employee / official";1;"yes";1
"43";"0-200 DM";"delay in paying off in the past";"education";"<100 DM";2;"male: single";1;"unskilled - resident";2;"yes";1
"44";"<0 DM";"critical account/other credits existing (not at this bank)";"car (used)";"100-500 DM";1;"male: married/widowed";2;"skilled employee / official";1;"yes";1
"45";"<0 DM";"critical account/other credits existing (not at this bank)";"car (used)";"<100 DM";4;"female: divorced/separated/married";2;"unskilled - resident";1;"yes";2
"46";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"female: divorced/separated/married";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"47";"no checking account";"existing credits paid back duly till now";"domestic appliances";"500-1000 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"48";"<0 DM";"existing credits paid back duly till now";"car (used)";"500-1000 DM";1;"female: divorced/separated/married";1;"unemployed/ unskilled  - non-resident";1;"yes";1
"49";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";1;"male: single";2;"unskilled - resident";1;"yes";1
"50";"no checking account";"existing credits paid back duly till now";"domestic appliances";"100-500 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"51";"0-200 DM";"delay in paying off in the past";"radio/television";"unknown/ no savings account";4;"male: single";1;"unskilled - resident";1;"yes";1
"52";"0-200 DM";"delay in paying off in the past";"car (used)";"<100 DM";1;"male: single";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"53";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"male: single";1;"skilled employee / official";1;"yes";1
"54";"no checking account";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";2;"male: single";1;"skilled employee / official";1;"yes";1
"55";"0-200 DM";"delay in paying off in the past";"car (new)";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";2
"56";"no checking account";"all credits at this bank paid back duly";"car (new)";"unknown/ no savings account";1;"male: single";1;"unskilled - resident";2;"yes";1
"57";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";2;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"58";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";2;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"59";">=200 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";3;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"60";"<0 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";4;"female: divorced/separated/married";2;"unskilled - resident";1;"yes";2
"61";"0-200 DM";"existing credits paid back duly till now";"business";"<100 DM";2;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"62";"0-200 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";4;"male: single";2;"skilled employee / official";1;"yes";1
"63";"0-200 DM";"no credits taken/all credits paid back duly";"business";"<100 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"64";"0-200 DM";"no credits taken/all credits paid back duly";"business";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";2
"65";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"66";"no checking account";"existing credits paid back duly till now";"education";"unknown/ no savings account";4;"male: single";4;"skilled employee / official";2;"yes";1
"67";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"68";"0-200 DM";"existing credits paid back duly till now";"car (new)";">=1000 DM";4;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"69";"no checking account";"existing credits paid back duly till now";"(vacation - does not exist?)";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";2
"70";"no checking account";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"71";"no checking account";"existing credits paid back duly till now";"car (used)";"<100 DM";1;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"72";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";4;"male: single";2;"unskilled - resident";1;"yes";1
"73";"<0 DM";"critical account/other credits existing (not at this bank)";"furniture/equipment";"<100 DM";3;"male: single";2;"management/ self-employed/highly qualified employee/ officer";2;"yes";1
"74";"0-200 DM";"critical account/other credits existing (not at this bank)";"business";"<100 DM";2;"female: divorced/separated/married";2;"unskilled - resident";1;"yes";1
"75";"<0 DM";"existing credits paid back duly till now";"(vacation - does not exist?)";"unknown/ no savings account";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"76";"<0 DM";"critical account/other credits existing (not at this bank)";"car (used)";"<100 DM";4;"male: single";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"77";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";2
"78";"0-200 DM";"delay in paying off in the past";"domestic appliances";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"79";"no checking account";"no credits taken/all credits paid back duly";"car (used)";"unknown/ no savings account";2;"male: single";1;"unskilled - resident";2;"yes";1
"80";"0-200 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"81";"no checking account";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";1;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";2
"82";"no checking account";"existing credits paid back duly till now";"domestic appliances";"500-1000 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"83";"no checking account";"existing credits paid back duly till now";"business";"100-500 DM";3;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"84";"<0 DM";"existing credits paid back duly till now";"furniture/equipment";"<100 DM";4;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"85";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"male: single";1;"unskilled - resident";1;"yes";1
"86";"no checking account";"critical account/other credits existing (not at this bank)";"business";"<100 DM";4;"female: divorced/separated/married";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"87";"0-200 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"88";"0-200 DM";"existing credits paid back duly till now";"(vacation - does not exist?)";"100-500 DM";1;"male: single";1;"skilled employee / official";2;"yes";2
"89";"<0 DM";"existing credits paid back duly till now";"car (new)";"100-500 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";2;"yes";1
"90";"<0 DM";"no credits taken/all credits paid back duly";"education";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";2
"91";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"92";"<0 DM";"critical account/other credits existing (not at this bank)";"car (used)";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"93";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";4;"female: divorced/separated/married";1;"unskilled - resident";2;"yes";2
"94";">=200 DM";"critical account/other credits existing (not at this bank)";"radio/television";"unknown/ no savings account";4;"male: single";2;"skilled employee / official";1;"yes";1
"95";"0-200 DM";"existing credits paid back duly till now";"car (new)";">=1000 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"96";"0-200 DM";"no credits taken/all credits paid back duly";"business";"<100 DM";3;"male: single";1;"skilled employee / official";1;"yes";2
"97";"no checking account";"critical account/other credits existing (not at this bank)";"(vacation - does not exist?)";"unknown/ no savings account";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"98";"0-200 DM";"existing credits paid back duly till now";"business";"100-500 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"99";"0-200 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"100";"0-200 DM";"delay in paying off in the past";"car (used)";"unknown/ no savings account";3;"male: single";2;"management/ self-employed/highly qualified employee/ officer";2;"yes";1
"101";"no checking account";"existing credits paid back duly till now";"car (new)";"100-500 DM";4;"male: married/widowed";1;"unskilled - resident";1;"yes";1
"102";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"103";"no checking account";"delay in paying off in the past";"domestic appliances";"<100 DM";3;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"104";"0-200 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"105";"no checking account";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";2;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"106";"0-200 DM";"critical account/other credits existing (not at this bank)";"furniture/equipment";"<100 DM";2;"male: single";2;"management/ self-employed/highly qualified employee/ officer";2;"yes";2
"107";"no checking account";"all credits at this bank paid back duly";"car (new)";"<100 DM";2;"male: single";2;"management/ self-employed/highly qualified employee/ officer";2;"yes";2
"108";"0-200 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"109";"<0 DM";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";1;"female: divorced/separated/married";1;"skilled employee / official";1;"no";1
"110";"0-200 DM";"existing credits paid back duly till now";"business";"500-1000 DM";1;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"111";"0-200 DM";"delay in paying off in the past";"business";"100-500 DM";1;"male: divorced/separated";2;"skilled employee / official";2;"yes";1
"112";">=200 DM";"existing credits paid back duly till now";"(vacation - does not exist?)";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"113";"0-200 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";3;"male: single";1;"unskilled - resident";1;"yes";1
"114";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";2
"115";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"500-1000 DM";3;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"116";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";1;"yes";1
"117";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";4;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"118";"<0 DM";"critical account/other credits existing (not at this bank)";"radio/television";"unknown/ no savings account";2;"female: divorced/separated/married";2;"skilled employee / official";1;"no";1
"119";"<0 DM";"critical account/other credits existing (not at this bank)";"radio/television";"500-1000 DM";1;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";2
"120";"0-200 DM";"critical account/other credits existing (not at this bank)";"car (new)";"500-1000 DM";3;"male: divorced/separated";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"121";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";2
"122";"no checking account";"critical account/other credits existing (not at this bank)";"car (used)";"<100 DM";4;"female: divorced/separated/married";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"123";"no checking account";"existing credits paid back duly till now";"radio/television";"<100 DM";3;"male: single";1;"unskilled - resident";1;"yes";1
"124";">=200 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"125";"0-200 DM";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"126";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"127";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: married/widowed";1;"unskilled - resident";1;"yes";1
"128";"0-200 DM";"existing credits paid back duly till now";"education";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";2
"129";"0-200 DM";"critical account/other credits existing (not at this bank)";"car (used)";"<100 DM";4;"male: single";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"130";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";3;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";2
"131";"0-200 DM";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";1;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"132";"<0 DM";"delay in paying off in the past";"(vacation - does not exist?)";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";2
"133";"no checking account";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"male: single";2;"unskilled - resident";1;"yes";1
"134";"no checking account";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"135";"no checking account";"existing credits paid back duly till now";"domestic appliances";"100-500 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"136";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"137";"no checking account";"delay in paying off in the past";"car (used)";">=1000 DM";2;"male: single";2;"skilled employee / official";1;"yes";1
"138";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"500-1000 DM";4;"male: single";1;"unskilled - resident";1;"yes";2
"139";"0-200 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";4;"male: single";3;"skilled employee / official";1;"yes";1
"140";">=200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";2;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"141";">=200 DM";"existing credits paid back duly till now";"car (new)";">=1000 DM";2;"male: married/widowed";1;"unemployed/ unskilled  - non-resident";1;"no";1
"142";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"143";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"144";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";2
"145";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"146";"0-200 DM";"all credits at this bank paid back duly";"business";"100-500 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"147";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";1;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"148";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"100-500 DM";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"149";"<0 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";3;"male: single";2;"skilled employee / official";1;"yes";1
"150";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";">=1000 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"151";"no checking account";"existing credits paid back duly till now";"domestic appliances";"100-500 DM";2;"male: single";1;"skilled employee / official";2;"yes";1
"152";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";1;"male: single";1;"skilled employee / official";1;"no";1
"153";">=200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"154";"0-200 DM";"critical account/other credits existing (not at this bank)";"car (used)";">=1000 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"155";"0-200 DM";"delay in paying off in the past";"business";"100-500 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"156";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"157";"<0 DM";"critical account/other credits existing (not at this bank)";"education";"100-500 DM";3;"male: single";2;"skilled employee / official";2;"no";1
"158";"<0 DM";"all credits at this bank paid back duly";"retraining";"<100 DM";4;"male: married/widowed";1;"unskilled - resident";1;"yes";1
"159";"0-200 DM";"existing credits paid back duly till now";"car (new)";"100-500 DM";2;"male: single";2;"skilled employee / official";1;"yes";1
"160";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";1;"male: single";2;"unskilled - resident";2;"yes";1
"161";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"100-500 DM";3;"male: single";1;"skilled employee / official";2;"yes";1
"162";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"163";"no checking account";"existing credits paid back duly till now";"repairs";"500-1000 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"164";"0-200 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";2;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"165";"no checking account";"existing credits paid back duly till now";"car (new)";"500-1000 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"166";"no checking account";"existing credits paid back duly till now";"radio/television";"500-1000 DM";1;"male: single";1;"skilled employee / official";1;"yes";1
"167";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"168";"0-200 DM";"existing credits paid back duly till now";"radio/television";">=1000 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"169";"no checking account";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"170";"0-200 DM";"critical account/other credits existing (not at this bank)";"business";"<100 DM";4;"male: divorced/separated";2;"skilled employee / official";1;"yes";2
"171";"<0 DM";"no credits taken/all credits paid back duly";"car (new)";"<100 DM";4;"male: single";2;"skilled employee / official";2;"yes";2
"172";"no checking account";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"173";"0-200 DM";"delay in paying off in the past";"radio/television";"<100 DM";3;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"174";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"skilled employee / official";1;"no";1
"175";"<0 DM";"delay in paying off in the past";"(vacation - does not exist?)";"<100 DM";2;"male: single";2;"skilled employee / official";1;"yes";2
"176";"no checking account";"all credits at this bank paid back duly";"car (used)";"unknown/ no savings account";4;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"177";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"male: divorced/separated";1;"skilled employee / official";1;"yes";1
"178";"<0 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"500-1000 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"179";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";2;"management/ self-employed/highly qualified employee/ officer";2;"yes";1
"180";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"181";"no checking account";"delay in paying off in the past";"business";"<100 DM";1;"male: divorced/separated";2;"skilled employee / official";1;"yes";2
"182";"0-200 DM";"delay in paying off in the past";"business";"<100 DM";2;"male: divorced/separated";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"183";"<0 DM";"all credits at this bank paid back duly";"car (new)";"unknown/ no savings account";4;"male: single";2;"unskilled - resident";2;"yes";2
"184";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";">=1000 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"185";"0-200 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"male: single";1;"skilled employee / official";2;"yes";2
"186";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"187";"0-200 DM";"all credits at this bank paid back duly";"car (used)";"<100 DM";2;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";2;"yes";2
"188";"0-200 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";2;"male: single";3;"unemployed/ unskilled  - non-resident";1;"yes";1
"189";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"100-500 DM";4;"male: married/widowed";1;"skilled employee / official";1;"yes";2
"190";"0-200 DM";"no credits taken/all credits paid back duly";"radio/television";"<100 DM";1;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"191";"no checking account";"existing credits paid back duly till now";"business";">=1000 DM";2;"male: single";3;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"192";"0-200 DM";"no credits taken/all credits paid back duly";"business";"100-500 DM";4;"male: single";1;"unskilled - resident";2;"yes";2
"193";"0-200 DM";"existing credits paid back duly till now";"business";"<100 DM";4;"male: single";1;"skilled employee / official";2;"yes";2
"194";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";2;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"195";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"100-500 DM";4;"male: single";1;"skilled employee / official";1;"yes";2
"196";"0-200 DM";"critical account/other credits existing (not at this bank)";"(vacation - does not exist?)";"<100 DM";2;"female: divorced/separated/married";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"197";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";1;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
